"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","DATETIME_PRECISION","CHARACTER_SET_NAME","COLLATION_NAME","COLUMN_TYPE","COLUMN_KEY","EXTRA","PRIVILEGES","COLUMN_COMMENT","IS_GENERATED","GENERATION_EXPRESSION"
"def","db_ura","audit_logs","log_id","1",NULL,"NO","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(11)","PRI","auto_increment","select,insert,update,references",,"NEVER",NULL
"def","db_ura","audit_logs","log_text","2",NULL,"NO","varchar","2000","2000",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(2000)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","audit_logs","log_ori","3",NULL,"NO","varchar","200","200",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(200)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","audit_logs","log_lvl","4",NULL,"NO","varchar","15","15",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(15)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","audit_logs","createdAt","5","current_timestamp()","NO","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","id","1",NULL,"NO","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(6)","PRI","auto_increment","select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","start_time","2","NULL","YES","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","end_time","3","NULL","YES","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","module","4","NULL","YES","varchar","25","25",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(25)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","status","5","NULL","YES","varchar","25","25",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(25)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","parent_table","6","NULL","YES","varchar","25","25",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(25)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","error","7","NULL","YES","text","65535","65535",NULL,NULL,NULL,"latin1","latin1_swedish_ci","text",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","created_by","8","NULL","YES","varchar","25","25",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(25)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","updated_by","9","NULL","YES","varchar","25","25",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(25)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","createdAt","10",NULL,"NO","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","cron_maintenence","updatedAt","11",NULL,"NO","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","id","1",NULL,"NO","bigint",NULL,NULL,"20","0",NULL,NULL,NULL,"bigint(20) unsigned","PRI","auto_increment","select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","uuid","2",NULL,"NO","varchar","255","1020",NULL,NULL,NULL,"utf8mb4","utf8mb4_unicode_ci","varchar(255)","UNI",,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","connection","3",NULL,"NO","text","65535","65535",NULL,NULL,NULL,"utf8mb4","utf8mb4_unicode_ci","text",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","queue","4",NULL,"NO","text","65535","65535",NULL,NULL,NULL,"utf8mb4","utf8mb4_unicode_ci","text",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","payload","5",NULL,"NO","longtext","4294967295","4294967295",NULL,NULL,NULL,"utf8mb4","utf8mb4_unicode_ci","longtext",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","exception","6",NULL,"NO","longtext","4294967295","4294967295",NULL,NULL,NULL,"utf8mb4","utf8mb4_unicode_ci","longtext",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","failed_jobs","failed_at","7","current_timestamp()","NO","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","migrations","id","1",NULL,"NO","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(10) unsigned","PRI","auto_increment","select,insert,update,references",,"NEVER",NULL
"def","db_ura","migrations","migration","2",NULL,"NO","varchar","255","1020",NULL,NULL,NULL,"utf8mb4","utf8mb4_unicode_ci","varchar(255)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","migrations","batch","3",NULL,"NO","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(11)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","id","1",NULL,"NO","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(11)","PRI","auto_increment","select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","tally_id","2",NULL,"NO","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","buyer_legal_name","3",NULL,"NO","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","buyer_tin","4",NULL,"NO","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","customer_type","5","NULL","YES","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","buyer_address","6",NULL,"NO","varchar","100","100",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(100)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","cont_pers","7","NULL","YES","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","buyer_mobile_phone","8","NULL","YES","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","is_active","9","1","NO","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(1)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","created_by","10","NULL","YES","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(4)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","createdAt","11","NULL","YES","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","updated_by","12","NULL","YES","int",NULL,NULL,"10","0",NULL,NULL,NULL,"int(4)",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","updatedAt","13","NULL","YES","datetime",NULL,NULL,NULL,NULL,"0",NULL,NULL,"datetime",,,"select,insert,update,references",,"NEVER",NULL
"def","db_ura","mst_buyer","buyer_email","14","NULL","YES","varchar","45","45",NULL,NULL,NULL,"latin1","latin1_swedish_ci","varchar(45)",,,"select,insert,update,references",,"NEVER",NULL
